UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
,,,,,,,,,
Grain Name,Length Number,Apparent Length,Corr.  Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C,Dper
Grain04,37,0.64,0.98,1.17,64.73,57.03,0.27,76.50,0.612
Grain04,38,2.81,2.45,3.73,1.77,41.05,2.81,41.15,0.612
Grain04,39,1.11,7.35,7.44,67.54,81.4,0.42,86.73,0.612
Grain04,40,0.73,0.49,0.88,86.61,33.76,0.04,87.19,0.612
Grain04,41,2.99,3.43,4.55,2.52,48.98,2.99,48.97,0.612
Grain04,42,2.07,2.45,3.21,26.49,49.86,1.85,54.75,0.612
Grain04,43,0.62,0.49,0.79,52.2,38.3,0.38,61.25,0.612
Grain04,44,1.81,0.49,1.87,44.38,15.19,1.29,46.23,0.612
Grain04b,1,1.77,1.47,2.3,58.35,39.75,0.93,66.18,0.621
Grain04b,2,1.3,0.98,1.63,5.79,36.99,1.29,37.49,0.621
Grain04b,3,0.62,0.98,1.16,25.64,57.82,0.56,61.19,0.621
Grain04b,4,4.55,2.45,5.17,37.8,28.3,3.60,45.94,0.621
Grain04b,5,0.97,1.47,1.76,41.88,56.64,0.72,65.77,0.621
Grain04b,6,0.68,0.98,1.19,28.24,55.28,0.60,59.77,0.621
Grain04b,7,3.31,7.35,8.06,53.39,65.75,1.97,75.82,0.621
Grain04b,8,3.98,4.41,5.94,61.17,47.94,1.92,71.15,0.621
Grain04b,9,1.04,1.96,2.22,41.61,62.13,0.78,69.50,0.621
Grain04b,10,11.22,2.45,11.49,80.81,12.32,1.79,81.03,0.621
Grain04b,11,0.44,0.49,0.66,33.77,48.33,0.37,56.35,0.621
Grain04b,12,1.99,2.45,3.16,66.24,50.92,0.80,75.30,0.621
Grain04b,13,2.84,1.96,3.45,11.86,34.64,2.78,36.33,0.621
Grain04b,14,3.73,4.9,6.16,18.36,52.73,3.54,54.92,0.621
Grain04b,15,2.58,7.84,8.26,67.73,71.81,0.98,83.20,0.621
Grain04b,16,1.73,2.45,3,33.22,54.79,1.45,61.16,0.621
Grain04b,17,7.28,3.43,8.04,69.23,25.25,2.58,71.27,0.621
Grain04b,18,5.06,2.45,5.63,28.08,25.83,4.46,37.54,0.621
Grain04b,19,0.98,2.45,2.64,88.51,68.2,0.03,89.45,0.621
Grain04b,20,0.37,0.98,1.05,30.4,69.25,0.32,72.31,0.621
Grain04b,21,1.42,1.47,2.04,80.82,46.1,0.23,83.62,0.621
