Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Grain18,52,11.12573018,5.726,12.51275142,10.10728111,27.23319747,,28.91327413
Grain18,53,5.59820365,4.09,6.933107824,44.8396823,36.15154662,,55.07138376
Grain18,54,3.085342342,1.636,3.492253336,23.30118179,27.93473103,,35.76475721
Grain18,55,5.399304986,8.18,9.801270037,18.75032914,56.57272503,,58.55753841
Grain18,56,1.914673287,4.908,5.268248077,88.43159359,68.68861027,,89.43004575
Grain19,1,2.038076077,1.636,2.613474717,28.72621166,38.75463369,,46.8542263
Grain19,2,10.82258028,4.09,11.56963024,61.76833843,20.70225928,,63.73690249
Grain19,3,4.365079365,3.272,5.455263684,18.00949293,36.85469353,,40.45148303
Grain19,4,4.663081713,3.272,5.696517802,33.83328048,35.05664382,,47.15897756
Grain19,5,4.21405404,4.908,6.468903729,68.051944,49.35030753,,75.90778533
Grain19,6,7.007006176,5.726,9.049044787,48.7283972,39.25507887,,59.28453173
Grain19,7,4.721555242,3.272,5.744481517,51.69956046,34.72164953,,59.37484719
Grain19,8,0.436507937,1.636,1.693232169,54.87939058,75.06069437,,81.47101458
Grain19,9,6.951859986,8.18,10.73502479,17.27725604,49.6400995,,51.80302866
Grain19,10,4.574803098,4.09,6.136523721,30.08456513,41.79759137,,49.8287343
Grain19,11,2.65517412,8.18,8.600136604,62.52818486,72.01691108,,81.81187363
Grain19,12,5.738709928,5.726,8.106779116,58.79989635,44.93648117,,68.48730521
Grain19,13,3.49424535,3.272,4.787038183,31.00410973,43.11872855,,51.26988398
Grain19,14,5.356078671,6.544,8.456448116,52.96490103,50.70064629,,67.57444709
Grain19,15,6.217442285,2.454,6.684213085,69.85226635,21.53895447,,71.31355242
Grain19,16,2.979786188,2.454,3.860212653,23.051944,39.47312935,,44.74189506
Grain19,17,1.888622097,3.272,3.777946191,15.68057459,60.00614651,,61.22951024
Grain19,18,4.753729755,4.09,6.271048284,64.60446392,40.70794743,,71.02846941
Grain19,19,6.724489414,4.09,7.870632622,42.4301526,31.30899659,,50.90440308
Grain19,20,4.607175328,6.544,8.003124421,9.041104073,54.85328764,,55.35292488
Grain19,21,6.489156993,4.09,7.670544862,0.793419346,32.22250015,,32.23121498
Grain19,22,3.709033391,2.454,4.447363792,45.42545589,33.48973345,,54.17432791
Grain19,23,4.365952294,2.454,5.008358557,83.52512772,29.33932576,,84.35853413
Grain19,24,4.505979902,4.09,6.085388638,36.45282927,42.22948236,,53.44562926
Grain19,25,5.447087377,11.452,12.68144569,65.54890697,64.56213341,,79.75892009
Grain19,26,2.271519526,3.272,3.983187788,20.2120911,55.23047093,,57.64529025
Grain19,27,2.045541582,0.818,2.203035261,21.79607816,21.79617835,,30.4431271
Grain19,28,8.920154763,3.272,9.501323329,31.75414876,20.14353108,,37.03165874
Grain19,29,7.758061339,4.908,9.180194973,52.94388277,32.31876599,,59.38633384
Grain19,30,3.025475523,8.18,8.721576815,61.84035361,69.70245444,,80.57767508
Grain19,31,4.506825539,4.09,6.086014824,3.585817515,42.22413168,,42.34758833
Grain19,32,4.43522996,8.18,9.305034379,71.81628563,61.53326697,,81.44578181
Grain19,33,6.681851565,4.09,7.834235147,46.91867658,31.47104156,,54.3689166
Grain19,34,6.823500106,7.362,10.03788811,14.34170488,47.17397787,,48.80759093
Grain19,35,1.851946332,3.272,3.759745898,80.12060942,60.49021411,,85.15198183
Grain19,36,4.942380267,4.09,6.415233644,53.66482103,39.60899743,,62.84006557
Grain19,37,1.799768329,4.908,5.227583575,49.15685289,69.86196441,,76.98784091
Grain19,38,4.349336691,4.09,5.970329108,28.41720425,43.23988259,,50.15500566
Grain19,39,0.174603175,1.636,1.645290937,71.99050707,83.90813,,88.1197579
Grain19,40,9.347794784,4.09,10.20339979,73.28049665,23.63112576,,74.71843913
Grain19,41,2.098872509,3.272,3.887319103,34.937006,57.32126096,,63.72861774
Grain19,42,6.041496922,4.09,7.295737458,70.64282352,34.09739276,,74.06932508
Grain19,43,8.385043644,3.272,9.000830013,32.47978703,21.31665419,,38.19898383
Grain19,44,3.913020367,0.818,3.997605833,69.34968468,11.8074,,69.80590273
Grain19,45,0.174603175,2.454,2.460203705,18.00949293,85.93023852,,86.1299469
Grain20,1,5.84399199,4.908,7.631559892,50.62252439,40.02477919,,60.9336174
Grain20,2,4.251865152,4.09,5.899699761,45.27216734,43.88837494,,59.52385581
Grain20,3,9.490208583,6.544,11.52770554,13.85183603,34.58831397,,36.93569788
Grain20,4,4.62039063,1.636,4.901479937,47.75230317,19.49816937,,50.67044416
Grain20,5,1.961859171,2.454,3.141815941,32.17553105,51.35928558,,58.09350931
Grain20,6,0.276071859,2.454,2.469480041,82.88612419,83.58128568,,89.20673122
Grain20,7,3.439283677,4.908,5.993090706,88.41366434,54.97912885,,89.08971996
Grain20,8,4.322971506,1.636,4.62218332,17.81459832,20.72881728,,27.07374003
Grain20,9,2.342547405,3.272,4.024116343,88.98377346,54.39970499,,89.40844744
Grain20,10,2.225762486,3.272,3.957272122,0.011140536,55.77468991,,55.77469065
Grain20,11,5.895928065,8.998,10.75760065,52.87271594,56.76522971,,70.68212149
Grain20,12,2.795014548,3.272,4.303265077,78.92146946,49.495317,,82.83043897
Grain20,13,4.708623878,7.362,8.739003537,75.13608776,57.39763347,,82.05533828
Grain20,14,10.04309811,4.908,11.17820574,65.94550896,26.04447412,,68.51766217
Grain20,15,2.650864936,0.818,2.774204194,8.307365236,17.1491026,,19.00073542
Grain20,16,4.299990918,0.818,4.377104739,58.62483334,10.7708491,,59.23838836
Grain20,17,0.617315444,3.272,3.329724066,70.54882464,79.31581548,,86.4604622
Grain20,18,3.341496052,1.636,3.720496186,58.82371262,26.08641893,,62.29375387
Grain20,19,1.647203055,1.636,2.321588659,6.456558573,44.80449419,,45.16922057
Grain20,20,7.702850137,3.272,8.368983464,43.36771355,23.01470944,,48.00244769
Grain20,21,5.085270624,5.726,7.658136413,60.05734762,48.39166414,,70.6436932
